n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
30,5,0.0,cosine,10,10,euclidean,eom,True,569,0.1158,0.6666,0.5388,0.6707692307692308,0.7623984309330345,0.2583949914627204,0.5638542177216619,0.4645821111159756
30,5,0.0,cosine,10,20,euclidean,eom,True,364,0.1181,0.6223,0.5883,0.6808791208791207,0.6382740263379098,0.39926010244735355,0.5728044165547947,0.5400696116632371
30,5,0.0,cosine,20,5,euclidean,eom,True,429,0.1065,0.6319,0.5634,0.6298901098901097,0.6651723171756796,0.3284006829823563,0.5411543700160485,0.479145396436233
30,5,0.0,cosine,20,10,euclidean,eom,True,379,0.1178,0.615,0.588,0.6795604395604397,0.6178201176800224,0.3984063745019919,0.565262310580818,0.5389834070312158
30,5,0.0,cosine,20,20,euclidean,eom,True,330,0.1195,0.593,0.6158,0.687032967032967,0.5561782011768002,0.4775184974388162,0.5735765552161944,0.5822757322358916
30,5,0.0,cosine,30,5,euclidean,eom,True,311,0.1221,0.6084,0.6108,0.6984615384615384,0.599327542729056,0.4632896983494593,0.5870262598466846,0.5808756184054988
30,5,0.0,cosine,30,10,euclidean,eom,True,270,0.1154,0.5959,0.6253,0.669010989010989,0.5643037265340431,0.5045532157085941,0.5792893104178755,0.5867821023597916
30,5,0.0,cosine,30,20,euclidean,eom,True,235,0.1035,0.5715,0.6513,0.6167032967032966,0.4959372373213786,0.5785429709732498,0.5637278349993083,0.5976231338382731
30,5,0.0,cosine,50,5,euclidean,eom,True,188,0.1177,0.6138,0.6377,0.679120879120879,0.6144578313253013,0.5398406374501993,0.6111397826321264,0.6094807582855392
30,5,0.0,cosine,50,10,euclidean,eom,True,163,0.1089,0.5945,0.6636,0.6404395604395604,0.5603810591202019,0.6135458167330676,0.60478881209761,0.626992688586314
30,5,0.0,cosine,50,20,euclidean,eom,True,157,0.1087,0.593,0.6818,0.6395604395604396,0.5561782011768002,0.6653386454183265,0.6203590953851887,0.652449542489383
30,5,0.0,cosine,75,5,euclidean,eom,True,145,0.1324,0.5966,0.6895,0.7437362637362637,0.5662650602409639,0.6872509960159362,0.6657507733310545,0.7154936298760999
30,5,0.0,cosine,75,10,euclidean,eom,True,132,0.1143,0.6008,0.6945,0.6641758241758242,0.5780330624824881,0.7014797951052931,0.6478962272545351,0.6828278096405587
30,5,0.0,cosine,75,20,euclidean,eom,True,126,0.1111,0.5897,0.7047,0.6501098901098901,0.546931913701317,0.7305065452475811,0.6425161163529293,0.6903082176787356
30,5,0.0,cosine,100,5,euclidean,eom,True,111,0.131,0.6027,0.7047,0.7375824175824176,0.5833566825441301,0.7305065452475811,0.6838152151247096,0.7340444814149993
30,5,0.0,cosine,100,10,euclidean,eom,True,103,0.1452,0.6301,0.6822,0.7999999999999999,0.6601288876435977,0.6664769493454753,0.7088686123296909,0.7332384746727376
30,5,0.0,cosine,100,20,euclidean,eom,True,110,0.1201,0.61,0.7015,0.6896703296703296,0.6038105912020174,0.7214001138303927,0.6716270115675799,0.7055352217503612
30,5,0.0,cosine,150,5,euclidean,eom,True,82,0.1548,0.6476,0.7048,0.8421978021978022,0.7091622303166153,0.7307911212293682,0.7607170512479285,0.7864944617135852
30,5,0.0,cosine,150,10,euclidean,eom,True,75,0.138,0.64,0.7157,0.7683516483516484,0.6878677500700477,0.7618099032441662,0.7393431005552874,0.7650807757979072
30,5,0.0,cosine,150,20,euclidean,eom,True,75,0.1343,0.6493,0.7187,0.752087912087912,0.713925469319137,0.7703471826977804,0.7454535213682765,0.7612175473928462
30,5,0.0,cosine,200,5,euclidean,eom,True,61,0.182,0.677,0.7254,0.9617582417582416,0.7915382460072852,0.7894137734775186,0.8475700870810151,0.8755860076178801
30,5,0.0,cosine,200,10,euclidean,eom,True,56,0.176,0.6821,0.7187,0.9353846153846153,0.8058279630148503,0.7703471826977804,0.8371865870324152,0.8528658990411978
30,5,0.0,cosine,200,20,euclidean,eom,True,34,0.0089,0.4471,0.7994,0.20087912087912085,0.14738021854861302,1.0,0.4494197798092447,0.6004395604395605
30,10,0.0,cosine,10,5,euclidean,eom,True,727,0.107,0.6882,0.5074,0.632087912087912,0.8229195853180165,0.16903813318155936,0.5413485435291626,0.4005630226347357
30,10,0.0,cosine,10,10,euclidean,eom,True,569,0.1163,0.6554,0.5511,0.672967032967033,0.7310170916223032,0.2933978372225385,0.5657939872706249,0.48318243509478576
30,10,0.0,cosine,10,20,euclidean,eom,True,354,0.1173,0.6138,0.5895,0.6773626373626374,0.6144578313253013,0.40267501422879914,0.5648318276389126,0.5400188257957182
30,10,0.0,cosine,20,5,euclidean,eom,True,428,0.1196,0.6313,0.5687,0.6874725274725274,0.6634911739983188,0.3434832100170745,0.5648156371626403,0.515477868744801
30,10,0.0,cosine,20,10,euclidean,eom,True,370,0.1215,0.6073,0.5987,0.6958241758241758,0.5962454469038946,0.4288560045532157,0.5736418757604287,0.5623400901886957
30,10,0.0,cosine,20,20,euclidean,eom,True,331,0.1234,0.6003,0.6051,0.7041758241758241,0.5766321098346875,0.4470688673875924,0.575958933799368,0.5756223457817082
30,10,0.0,cosine,30,5,euclidean,eom,True,300,0.1131,0.6047,0.6145,0.6589010989010989,0.5889604931353322,0.4738190096755835,0.5738935339040049,0.5663600542883412
30,10,0.0,cosine,30,10,euclidean,eom,True,280,0.1297,0.5961,0.6314,0.7318681318681319,0.5648641075931633,0.5219123505976094,0.6062148633529683,0.6268902412328707
30,10,0.0,cosine,30,20,euclidean,eom,True,250,0.1276,0.5772,0.6449,0.7226373626373626,0.5119080975063045,0.5603301081388732,0.59829185609418,0.6414837353881179
30,10,0.0,cosine,50,5,euclidean,eom,True,175,0.1146,0.6074,0.6609,0.6654945054945054,0.596525637433455,0.6058622652248151,0.6226274693842585,0.6356783853596603
30,10,0.0,cosine,50,10,euclidean,eom,True,175,0.1247,0.5994,0.6595,0.7098901098901099,0.5741103950686468,0.601878201479795,0.6286262354795172,0.6558841556849524
30,10,0.0,cosine,50,20,euclidean,eom,True,166,0.1374,0.5934,0.6841,0.7657142857142857,0.5572989632950408,0.671883892999431,0.6649657140029192,0.7187990893568583
30,10,0.0,cosine,75,5,euclidean,eom,True,139,0.124,0.6194,0.6735,0.7068131868131868,0.6301485009806668,0.6417188389299943,0.659560175574616,0.6742660128715905
30,10,0.0,cosine,75,10,euclidean,eom,True,135,0.1203,0.5889,0.6833,0.6905494505494506,0.5446903894648361,0.6696072851451338,0.6349490417198068,0.6800783678472921
